time,target,action,lib,width,height,mem_before_mb,mem_after_mb,mem_delta_mb,cpu_pct,elapsed_s
2026-09-14 18:08:13,webcam#69,frame,opencv,1280,720,143.8,146.4,2.6,53.8,0.0222
2026-09-14 18:08:13,webcam#70,frame,opencv,1280,720,143.8,146.4,2.6,49.6,0.024
2026-09-14 18:08:13,webcam#71,frame,opencv,1280,720,143.8,146.4,2.6,179.5,0.0279
2026-09-14 18:08:13,webcam#72,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0548
2026-09-14 18:08:13,webcam#73,frame,opencv,1280,720,143.8,146.4,2.6,96.5,0.042
2026-09-14 18:08:13,webcam#74,frame,opencv,1280,720,143.8,146.4,2.6,143.0,0.0251
2026-09-14 18:08:13,webcam#75,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0027
2026-09-14 18:08:13,webcam#76,frame,opencv,1280,720,143.8,146.4,2.6,294.5,0.0142
2026-09-14 18:08:13,webcam#77,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.04
2026-09-14 18:08:13,webcam#78,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0083
2026-09-14 18:08:13,webcam#79,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0245
2026-09-14 18:08:13,webcam#80,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0248
2026-09-14 18:08:13,webcam#81,frame,opencv,1280,720,143.8,146.4,2.6,45.7,0.0271
2026-09-14 18:08:13,webcam#82,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0237
2026-09-14 18:08:14,webcam#83,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0252
2026-09-14 18:08:14,webcam#84,frame,opencv,1280,720,143.8,146.4,2.6,24.2,0.0583
2026-09-14 18:08:14,webcam#85,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0231
2026-09-14 18:08:14,webcam#86,frame,opencv,1280,720,143.8,146.4,2.6,49.2,0.0241
2026-09-14 18:08:14,webcam#87,frame,opencv,1280,720,143.8,146.4,2.6,32.5,0.0415
2026-09-14 18:08:14,webcam#88,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0251
2026-09-14 18:08:14,webcam#89,frame,opencv,1280,720,143.8,146.4,2.6,337.2,0.0028
2026-09-14 18:08:14,webcam#90,frame,opencv,1280,720,143.8,146.4,2.6,0.0,0.0151
2026-09-14 18:08:14,webcam#91,frame,opencv,1280,720,143.8,146.4,2.6,198.9,0.0245
2026-09-14 18:08:14,webcam#92,frame,opencv,1280,720,143.8,146.4,2.6,437.4,0.0256
2026-09-14 18:08:14,webcam#93,frame,opencv,1280,720,143.8,146.4,2.6,45.5,0.0277
2026-09-14 18:08:14,webcam#94,frame,opencv,1280,720,143.8,146.4,2.6,48.9,0.0236
2026-09-14 18:08:14,webcam#95,frame,opencv,1280,720,143.8,146.4,2.6,51.7,0.0226
